,Team,Maps,Org Location,K-DÂ Diff,K/D,Rating2.0
0,Spirit,103,Russia,905,1.13,1.14
1,Vitality,57,Europe,400,1.1,1.13
2,Virtus.pro,105,Russia,612,1.09,1.11
3,FaZe,118,Europe,482,1.06,1.1
4,Monte,104,Ukraine,289,1.04,1.09
5,BIG,109,Germany,476,1.06,1.09
6,Cloud9,88,Russia,114,1.02,1.09
7,Aurora,132,Russia,348,1.04,1.09
8,3DMAX,61,France,36,1.01,1.09
9,Eternal Fire,64,Turkey,200,1.04,1.08
10,MOUZ,82,Europe,195,1.03,1.08
11,Liquid,44,International,129,1.04,1.08
12,G2,77,Europe,189,1.04,1.07
13,Imperial,70,Brazil,183,1.04,1.07
14,MIBR,73,Brazil,89,1.02,1.07
15,TheMongolz,56,Mongolia,57,1.01,1.06
16,Natus Vincere,72,Europe,88,1.02,1.06
17,Astralis,61,Denmark,62,1.01,1.06
18,HEROIC,88,Denmark,-56,0.99,1.06
19,Preasy,110,Denmark,153,1.02,1.06
20,FURIA,86,Brazil,72,1.01,1.06
21,Into the Breach,48,Europe,36,1.01,1.06
22,Complexity,75,United States,-10,1.0,1.05
23,9 Pandas,99,Russia,-1,1.0,1.05
24,paiN,62,Brazil,26,1.01,1.05
25,M80,48,North America,25,1.01,1.05
26,SINNERS,90,Czech Republic,4,1.0,1.05
27,fnatic,71,Europe,-143,0.97,1.04
28,FORZE,121,Russia,-42,1.0,1.04
29,BetBoom,111,Russia,-249,0.97,1.04
30,Guild Eagles,59,Kosovo,-192,0.96,1.04
31,9INE,46,Poland,-135,0.96,1.04
32,Nouns,57,United States,-165,0.96,1.04
33,ECSTATIC,104,Denmark,-220,0.97,1.04
34,ENCE,75,Poland,-197,0.96,1.03
35,B8,65,Ukraine,-132,0.97,1.03
36,Metizport,53,Sweden,-123,0.97,1.03
37,Sprout,69,Europe,-243,0.96,1.03
38,Apeks,131,Europe,-172,0.98,1.03
39,OG,55,Europe,-239,0.94,1.03
40,KOI,49,Europe,-56,0.98,1.02
41,Falcons,55,Europe,-171,0.96,1.02
42,9z,46,South America,-133,0.96,1.02
43,EYEBALLERS,50,Sweden,-152,0.96,1.02
44,SAW,70,Portugal,-259,0.95,1.01
45,GamerLegion,76,Europe,-368,0.93,1.0
46,Anonymo,53,Poland,-303,0.92,1.0
